sim, account1,account2,account3,
99, 0, -98985, 0,
 99, 0, -102540, 0,
 99, 0, -106259, 0,
 99, 0, -110150, 0,
 99, 0, -114220, 0,
 99, 0, -118478, 0,
 99, 0, -122933, 0,
 99, 0, -127594, 0,
 99, 0, -132469, 0,
 99, 0, -137570, 0,
 99, 0, -142906, 0,
 99, 0, -148489, 0,
 99, 0, -154329, 0,
 99, 0, -160439, 0,
 99, 0, -166831, 0,
 99, 0, -173519, 0,
 99, 0, -180515, 0,
 99, 0, -187834, 0,
 99, 0, -195490, 0,
 99, 0, -203501, 0,
 99, 0, -211881, 0,
 99, 0, -220648, 0,
 99, 0, -229820, 0,
 99, 0, -239415, 0,
 99, 0, -249453, 0,
 99, 0, -259955, 0,
 99, 0, -270942, 0,
 99, 0, -270638, 0,
 99, 0, -270333, 0,
 99, 0, -270027, 0,
 99, 0, -269720, 0,
 99, 0, -269412, 0,
 99, 0, -269104, 0,
 99, 0, -268795, 0,
 99, 0, -268485, 0,
 99, 0, -268174, 0,
 99, 0, -267863, 0,
 99, 0, -267550, 0,
 99, 0, -267237, 0,
 99, 0, -266923, 0,
 99, 0, -266608, 0,
 99, 0, -266293, 0,
 99, 0, -265976, 0,
 99, 0, -265659, 0,
 99, 0, -265341, 0,
 99, 0, -265022, 0,
 99, 0, -264702, 0,
 99, 0, -264381, 0,
 99, 0, -264060, 0,
 99, 0, -263738, 0,
 99, 0, -263414, 0,
 99, 0, -263090, 0,
 99, 0, -262724, 0,
 99, 0, -261647, 0,
 99, 0, -260569, 0,
 99, 0, -259492, 0,
 99, 0, -258415, 0,
 99, 0, -257338, 0,
 99, 0, -256261, 0,
 99, 0, -255184, 0,
 99, 0, -254107, 0,
 99, 0, -253031, 0,
 99, 0, -251954, 0,
 99, 0, -250878, 0,
 99, 0, -249801, 0,
 99, 0, -248725, 0,
 99, 0, -247649, 0,
 99, 0, -246573, 0,
 99, 0, -245497, 0,
 99, 0, -244421, 0,
 99, 0, -243345, 0,
 99, 0, -242269, 0,
 99, 0, -241193, 0,
 99, 0, -240118, 0,
 99, 0, -239042, 0,
 99, 0, -237967, 0,
 99, 0, -236891, 0,
 99, 0, -235816, 0,
 99, 0, -234718, 0,
 99, 0, -233639, 0,
 99, 0, -232559, 0,
 99, 0, -231480, 0,
 99, 0, -230401, 0,
 99, 0, -229322, 0,
 99, 0, -228242, 0,
 99, 0, -227163, 0,
 99, 0, -226084, 0,
 99, 0, -225005, 0,
 99, 0, -223926, 0,
 99, 0, -222846, 0,
 99, 0, -221767, 0,
 99, 0, -220688, 0,
 99, 0, -219609, 0,
 99, 0, -218530, 0,
 99, 0, -217450, 0,
 99, 0, -216371, 0,
 99, 0, -215292, 0,
 99, 0, -214213, 0,
 99, 0, -213133, 0,
 99, 0, -212054, 0,
 99, 0, -210975, 0,
 99, 0, -209896, 0,
 99, 0, -208817, 0,
 99, 0, -207737, 0,
 99, 0, -206644, 0,
 99, 0, -205551, 0,
 99, 0, -204458, 0,
 99, 0, -203365, 0,
 99, 0, -202272, 0,
 99, 0, -201179, 0,
 99, 0, -200086, 0,
 99, 0, -198993, 0,
 99, 0, -197900, 0,
 99, 0, -196807, 0,
 99, 0, -195714, 0,
 99, 0, -194620, 0,
 99, 0, -193527, 0,
 99, 0, -192434, 0,
 99, 0, -191341, 0,
 99, 0, -190248, 0,
 99, 0, -189155, 0,
 99, 0, -188062, 0,
 99, 0, -186969, 0,
 99, 0, -185876, 0,
 99, 0, -184783, 0,
 99, 0, -183690, 0,
 99, 0, -182597, 0,
 99, 0, -181504, 0,
 99, 0, -180411, 0,
 99, 0, -179318, 0,
 99, 0, -178225, 0,
 99, 0, -177132, 0,
 99, 0, -176040, 0,
 99, 0, -174947, 0,
 99, 0, -173855, 0,
 99, 0, -172762, 0,
 99, 0, -171669, 0,
 99, 0, -170577, 0,
 99, 0, -169484, 0,
 99, 0, -168391, 0,
 99, 0, -167299, 0,
 99, 0, -166206, 0,
 99, 0, -165114, 0,
 99, 0, -164021, 0,
 99, 0, -162928, 0,
 99, 0, -161836, 0,
 99, 0, -160743, 0,
 99, 0, -159651, 0,
 99, 0, -158558, 0,
 99, 0, -157465, 0,
 99, 0, -156373, 0,
 99, 0, -155280, 0,
 99, 0, -154188, 0,
 99, 0, -153095, 0,
 99, 0, -152002, 0,
 99, 0, -150910, 0,
 99, 0, -149802, 0,
 99, 0, -148695, 0,
 99, 0, -147588, 0,
 99, 0, -146481, 0,
 99, 0, -145373, 0,
 99, 0, -144266, 0,
 99, 0, -143159, 0,
 99, 0, -142052, 0,
 99, 0, -140944, 0,
 99, 0, -139837, 0,
 99, 0, -138730, 0,
 99, 0, -137623, 0,
 99, 0, -136515, 0,
 99, 0, -135408, 0,
 99, 0, -134301, 0,
 99, 0, -133193, 0,
 99, 0, -132086, 0,
 99, 0, -130979, 0,
 99, 0, -129872, 0,
 99, 0, -128764, 0,
 99, 0, -127657, 0,
 99, 0, -126550, 0,
 99, 0, -125443, 0,
 99, 0, -124335, 0,
 99, 0, -123228, 0,
 99, 0, -122121, 0,
 99, 0, -120984, 0,
 99, 0, -119848, 0,
 99, 0, -118711, 0,
 99, 0, -117574, 0,
 99, 0, -116438, 0,
 99, 0, -115301, 0,
 99, 0, -114165, 0,
 99, 0, -113028, 0,
 99, 0, -111891, 0,
 99, 0, -110755, 0,
 99, 0, -109618, 0,
 99, 0, -108482, 0,
 99, 0, -107345, 0,
 99, 0, -106208, 0,
 99, 0, -105072, 0,
 99, 0, -103935, 0,
 99, 0, -102799, 0,
 99, 0, -101662, 0,
 99, 0, -100525, 0,
 99, 0, -99388.9, 0,
 99, 0, -98252.2, 0,
 99, 0, -97115.6, 0,
 99, 0, -95979, 0,
 99, 0, -94842.4, 0,
 99, 0, -93705.8, 0,
 99, 0, -92569.2, 0,
 99, 0, -91429.1, 0,
 99, 0, -90288.9, 0,
 99, 0, -89148.7, 0,
 99, 0, -88008.5, 0,
 99, 0, -86868.3, 0,
 99, 0, -85728.2, 0,
 99, 0, -84588, 0,
 99, 0, -83447.8, 0,
 99, 0, -82307.6, 0,
 99, 0, -81167.4, 0,
 99, 0, -80027.3, 0,
 99, 0, -78887.1, 0,
 99, 0, -77746.9, 0,
 99, 0, -76606.7, 0,
 99, 0, -75466.5, 0,
 99, 0, -74326.4, 0,
 99, 0, -73186.2, 0,
 99, 0, -72046, 0,
 99, 0, -70905.8, 0,
 99, 0, -69765.6, 0,
 99, 0, -68625.5, 0,
 99, 0, -67485.3, 0,
 99, 0, -66345.1, 0,
 99, 0, -65204.9, 0,
 99, 0, -64064.8, 0,
 99, 0, -62924.6, 0,
 99, 0, -61769, 0,
 99, 0, -60613.5, 0,
 99, 0, -59457.9, 0,
 99, 0, -58302.3, 0,
 99, 0, -57146.8, 0,
 99, 0, -55991.2, 0,
 99, 0, -54835.6, 0,
 99, 0, -53680.1, 0,
 99, 0, -52524.5, 0,
 99, 0, -51369, 0,
 99, 0, -50213.4, 0,
 99, 0, -49057.8, 0,
 99, 0, -47902.3, 0,
 99, 0, -46746.7, 0,
 99, 0, -45591.1, 0,
 99, 0, -44435.6, 0,
 99, 0, -43280, 0,
 99, 0, -42124.5, 0,
 99, 0, -40968.9, 0,
 99, 0, -39813.3, 0,
 99, 0, -38657.8, 0,
 99, 0, -37502.2, 0,
 99, 0, -36346.6, 0,
 99, 0, -35191.1, 0,
 99, 0, -34035.5, 0,
 99, 0, -32880, 0,
 99, 0, -31739.2, 0,
 99, 0, -30598.5, 0,
 99, 0, -29457.8, 0,
 99, 0, -28317.1, 0,
 99, 0, -27176.4, 0,
 99, 0, -26035.7, 0,
 99, 0, -24895, 0,
 99, 0, -23754.3, 0,
 99, 0, -22613.5, 0,
 99, 0, -21472.8, 0,
 99, 0, -20332.1, 0,
 99, 0, -19191.4, 0,
 99, 0, -18050.7, 0,
 99, 0, -16910, 0,
 99, 0, -15769.3, 0,
 99, 0, -14628.6, 0,
 99, 0, -13487.8, 0,
 99, 0, -12347.1, 0,
 99, 0, -11206.4, 0,
 99, 0, -10065.7, 0,
 99, 0, -8924.99, 0,
 99, 0, -7784.27, 0,
 99, 0, -6643.56, 0,
 99, 0, -5502.85, 0,
 99, 0, -4362.13, 0,
 99, 0, -3221.42, 0,
 99, 0, -2005.28, 0,
 99, 0, -789.134, 0,
 99, 0, 0, 427.008,
 99, 0, 0, 1643.15,
 99, 0, 0, 2859.29,
 99, 0, 0, 4075.44,
 99, 0, 0, 5291.58,
 99, 0, 0, 6507.72,
 99, 0, 0, 7723.86,
 99, 0, 0, 8940.01,
 99, 0, 0, 10156.1,
 99, 0, 0, 11372.3,
 99, 0, 0, 12588.4,
 99, 0, 0, 13804.6,
 99, 0, 0, 15020.7,
 99, 0, 0, 16236.9,
 99, 0, 0, 17453,
 99, 0, 0, 18669.1,
 99, 0, 0, 19885.3,
 99, 0, 0, 21101.4,
 99, 0, 0, 22317.6,
 99, 0, 0, 23533.7,
 99, 0, 0, 24749.9,
 99, 0, 0, 25966,
 99, 0, 0, 27182.1,
 99, 0, 0, 28398.3,
 99, 0, 0, 29626.8,
 99, 0, 0, 30855.3,
 99, 0, 0, 32083.8,
 99, 0, 0, 33312.3,
 99, 0, 0, 34540.8,
 99, 0, 0, 35769.3,
 99, 0, 0, 36997.8,
 99, 0, 0, 38226.3,
 99, 0, 0, 39454.9,
 99, 0, 0, 40683.4,
 99, 0, 0, 41911.9,
 99, 0, 0, 43140.4,
 99, 0, 0, 44368.9,
 99, 0, 0, 45597.4,
 99, 0, 0, 46825.9,
 99, 0, 0, 48054.4,
 99, 0, 0, 49282.9,
 99, 0, 0, 50511.4,
 99, 0, 0, 51739.9,
 99, 0, 0, 52968.4,
 99, 0, 0, 54196.9,
 99, 0, 0, 55425.5,
 99, 0, 0, 56654,
 99, 0, 0, 57882.5,
 99, 0, 0, 59111,
 99, 0, 0, 60339.5,
 99, 0, 0, 61637.1,
 99, 0, 0, 62934.7,
 99, 0, 0, 64232.3,
 99, 0, 0, 65529.9,
 99, 0, 0, 66827.5,
 99, 0, 0, 68125.1,
 99, 0, 0, 69422.6,
 99, 0, 0, 70720.2,
 99, 0, 0, 72017.8,
 99, 0, 0, 73315.4,
 99, 0, 0, 74613,
 99, 0, 0, 75910.6,
 99, 0, 0, 77208.2,
 99, 0, 0, 78505.8,
 99, 0, 0, 79803.4,
 99, 0, 0, 81101,
 99, 0, 0, 82398.6,
 99, 0, 0, 83696.2,
 99, 0, 0, 84993.8,
 99, 0, 0, 86291.4,
 99, 0, 0, 87589,
 99, 0, 0, 88886.6,
 99, 0, 0, 90184.1,
 99, 0, 0, 91481.7,
 99, 0, 0, 92779.3,
 99, 0, 0, 94076.9,
 99, 0, 0, 95407.5,
 99, 0, 0, 96738,
 99, 0, 0, 98068.5,
 99, 0, 0, 99399.1,
 99, 0, 0, 100730,
 99, 0, 0, 102060,
 99, 0, 0, 103391,
 99, 0, 0, 104721,
 99, 0, 0, 106052,
 99, 0, 0, 107382,
 99, 0, 0, 108713,
 99, 0, 0, 110043,
 99, 0, 0, 111374,
 99, 0, 0, 112704,
 99, 0, 0, 114035,
 99, 0, 0, 115366,
 99, 0, 0, 116696,
 99, 0, 0, 118027,
 99, 0, 0, 119357,
 99, 0, 0, 120688,
 99, 0, 0, 122018,
 99, 0, 0, 123349,
 99, 0, 0, 124679,
 99, 0, 0, 126010,
 99, 0, 0, 127340,
 99, 0, 0, 128671,
 99, 0, 0, 130021,
 99, 0, 0, 131371,
 99, 0, 0, 132721,
 99, 0, 0, 134071,
 99, 0, 0, 135421,
 99, 0, 0, 136772,
 99, 0, 0, 138122,
 99, 0, 0, 139472,
 99, 0, 0, 140822,
 99, 0, 0, 142172,
 99, 0, 0, 143522,
 99, 0, 0, 144872,
 99, 0, 0, 146222,
 99, 0, 0, 147572,
 99, 0, 0, 148923,
 99, 0, 0, 150273,
 99, 0, 0, 151623,
 99, 0, 0, 152973,
 99, 0, 0, 154323,
 99, 0, 0, 155673,
 99, 0, 0, 157023,
 99, 0, 0, 158373,
 99, 0, 0, 159723,
 99, 0, 0, 161074,
 99, 0, 0, 162424,
 99, 0, 0, 163774,
 99, 0, 0, 165149,
 99, 0, 0, 166525,
 99, 0, 0, 167900,
 99, 0, 0, 169275,
 99, 0, 0, 170651,
 99, 0, 0, 172026,
 99, 0, 0, 173402,
 99, 0, 0, 174777,
 99, 0, 0, 176152,
 99, 0, 0, 177528,
 99, 0, 0, 178903,
 99, 0, 0, 180278,
 99, 0, 0, 181654,
 99, 0, 0, 183029,
 99, 0, 0, 184405,
 99, 0, 0, 185780,
 99, 0, 0, 187155,
 99, 0, 0, 188531,
 99, 0, 0, 189906,
 99, 0, 0, 191282,
 99, 0, 0, 192657,
 99, 0, 0, 194032,
 99, 0, 0, 195408,
 99, 0, 0, 196783,
 99, 0, 0, 198159,
 99, 0, 0, 199534,
 99, 0, 0, 200985,
 99, 0, 0, 202436,
 99, 0, 0, 203887,
 99, 0, 0, 205338,
 99, 0, 0, 206790,
 99, 0, 0, 208241,
 99, 0, 0, 209692,
 99, 0, 0, 211143,
 99, 0, 0, 212594,
 99, 0, 0, 214045,
 99, 0, 0, 215496,
 99, 0, 0, 216948,
 99, 0, 0, 218399,
 99, 0, 0, 219850,
 99, 0, 0, 221301,
 99, 0, 0, 222752,
 99, 0, 0, 224203,
 99, 0, 0, 225654,
 99, 0, 0, 227106,
 99, 0, 0, 228557,
 99, 0, 0, 230008,
 99, 0, 0, 231459,
 99, 0, 0, 232910,
 99, 0, 0, 234361,
 99, 0, 0, 235812,
 99, 0, 0, 237264,
 99, 0, 0, 238749,
 99, 0, 0, 240234,
 99, 0, 0, 241719,
 99, 0, 0, 243204,
 99, 0, 0, 244689,
 99, 0, 0, 246174,
 99, 0, 0, 247659,
 99, 0, 0, 249144,
 99, 0, 0, 250629,
 99, 0, 0, 252114,
 99, 0, 0, 253599,
 99, 0, 0, 255084,
 99, 0, 0, 256569,
 99, 0, 0, 258054,
 99, 0, 0, 259539,
 99, 0, 0, 261024,
 99, 0, 0, 262509,
 99, 0, 0, 263994,
 99, 0, 0, 265479,
 99, 0, 0, 266964,
 99, 0, 0, 268449,
 99, 0, 0, 269934,
 99, 0, 0, 271419,
 99, 0, 0, 272904,
 99, 0, 0, 274389,
 99, 0, 0, 275874,
 99, 0, 0, 277361,
 99, 0, 0, 278849,
 99, 0, 0, 280336,
 99, 0, 0, 281824,
 99, 0, 0, 283311,
 99, 0, 0, 284799,
 99, 0, 0, 286286,
